Threshold,Precision,Recall,F1_Score,ROC_AUC,True_Negatives,False_Positives,False_Negatives,True_Positives,Total_Cost,Cost_per_Observation
0.31,0.65748031496063,0.835,0.73568281938326,0.9855205508474576,11713,87,33,167,17370,1.4475
0.32,0.6653061224489796,0.815,0.7325842696629213,0.9855205508474576,11718,82,37,163,19320,1.61
0.33,0.6736401673640168,0.805,0.7334851936218679,0.9855205508474576,11722,78,39,161,20280,1.69
0.34,0.6943231441048034,0.795,0.7412587412587412,0.9855205508474576,11730,70,41,159,21200,1.7666666666666666
0.35,0.7085201793721974,0.79,0.7470449172576832,0.9855205508474576,11735,65,42,158,21650,1.8041666666666667
0.36,0.7155963302752294,0.78,0.7464114832535885,0.9855205508474576,11738,62,44,156,22620,1.885
0.37,0.7203791469194313,0.76,0.7396593673965937,0.9855205508474576,11741,59,48,152,24590,2.049166666666667
0.38,0.7277227722772277,0.735,0.7313432835820896,0.9855205508474576,11745,55,53,147,27050,2.254166666666667
0.39,0.7448979591836735,0.73,0.7373737373737373,0.9855205508474576,11750,50,54,146,27500,2.2916666666666665
0.4,0.7422680412371134,0.72,0.7309644670050761,0.9855205508474576,11750,50,56,144,28500,2.375
0.41,0.7513227513227513,0.71,0.7300771208226221,0.9855205508474576,11753,47,58,142,29470,2.4558333333333335
0.42,0.7582417582417582,0.69,0.7225130890052356,0.9855205508474576,11756,44,62,138,31440,2.62
0.43,0.7740112994350282,0.685,0.726790450928382,0.9855205508474576,11760,40,63,137,31900,2.658333333333333
0.44,0.7861271676300579,0.68,0.7292225201072386,0.9855205508474576,11763,37,64,136,32370,2.6975
0.45,0.7904191616766467,0.66,0.7193460490463215,0.9855205508474576,11765,35,68,132,34350,2.8625
0.46,0.793939393939394,0.655,0.7178082191780822,0.9855205508474576,11766,34,69,131,34840,2.9033333333333333
0.47,0.8152866242038217,0.64,0.7170868347338936,0.9855205508474576,11771,29,72,128,36290,3.0241666666666664
0.48,0.8235294117647058,0.63,0.7138810198300283,0.9855205508474576,11773,27,74,126,37270,3.1058333333333334
0.49,0.8333333333333334,0.625,0.7142857142857143,0.9855205508474576,11775,25,75,125,37750,3.1458333333333335
0.5,0.8445945945945946,0.625,0.7183908045977011,0.9855205508474576,11777,23,75,125,37730,3.1441666666666666
0.51,0.8413793103448276,0.61,0.7072463768115942,0.9855205508474576,11777,23,78,122,39230,3.2691666666666666
0.52,0.855072463768116,0.59,0.6982248520710059,0.9855205508474576,11780,20,82,118,41200,3.433333333333333
0.53,0.8656716417910447,0.58,0.6946107784431138,0.9855205508474576,11782,18,84,116,42180,3.515
0.54,0.8702290076335878,0.57,0.6888217522658611,0.9855205508474576,11783,17,86,114,43170,3.5975
0.55,0.88,0.55,0.676923076923077,0.9855205508474576,11785,15,90,110,45150,3.7625
0.56,0.8934426229508197,0.545,0.6770186335403726,0.9855205508474576,11787,13,91,109,45630,3.8025
0.57,0.8916666666666667,0.535,0.66875,0.9855205508474576,11787,13,93,107,46630,3.8858333333333333
0.58,0.9067796610169492,0.535,0.6729559748427673,0.9855205508474576,11789,11,93,107,46610,3.8841666666666668
0.59,0.9130434782608695,0.525,0.6666666666666666,0.9855205508474576,11790,10,95,105,47600,3.966666666666667
0.6,0.911504424778761,0.515,0.65814696485623,0.9855205508474576,11790,10,97,103,48600,4.05
0.61,0.9252336448598131,0.495,0.6449511400651465,0.9855205508474576,11792,8,101,99,50580,4.215
0.62,0.9238095238095239,0.485,0.6360655737704918,0.9855205508474576,11792,8,103,97,51580,4.298333333333333
